Major,MajorName,Campus,College,Major_Abbr,Pathway,deg_level,deg_type,DegreeLevelTypeDesc,deg_title,StartQtr,EndQtr,CIP_Code,Dept_Code,Department,dept_fas_org_code,Funding,OnlineOnly
1-B BUS-00-30,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,3,0,Pre-Doctor,POST MASTER                                                 ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-05-12,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,05,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION                 ,2016 Summer,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-10-12,Business Admin: Accounting (Bothell),Bothell     ,V - UW Bothell              ,B BUS ,10,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION (ACCOUNTING)    ,2008 Autumn,No End Quarter,520301,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-20-12,Business Admin (Supply Chain Management),Bothell     ,V - UW Bothell              ,B BUS ,20,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION (SUP CHAIN MGMT),2017 Autumn,No End Quarter,521301,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-25-12,Business Admin (Supply Chain Management),Bothell     ,V - UW Bothell              ,B BUS ,25,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION (SUP CHAIN MGMT),2017 Autumn,No End Quarter,521301,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-30-12,Business Administration (Marketing),Bothell     ,V - UW Bothell              ,B BUS ,30,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION (MARKETING)     ,2017 Autumn,No End Quarter,521401,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-40-12,Business Administration (Leadership & Strategic Innovation),Bothell     ,V - UW Bothell              ,B BUS ,40,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION (LEAD STRA INNO),2020 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B CHEM-00-11,Chemistry (Bothell),Bothell     ,V - UW Bothell              ,B CHEM,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (CHEMISTRY)                                ,2016 Autumn,No End Quarter,400501,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
1-B CHEM-00-15,Chemistry (Bothell),Bothell     ,V - UW Bothell              ,B CHEM,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (CHEMISTRY)                             ,2016 Autumn,No End Quarter,400501,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
1-B CHEM-10-15,Chemistry: Biochemistry (Bothell),Bothell     ,V - UW Bothell              ,B CHEM,10,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (CHEMISTRY: BIOCHEMISTRY)               ,2014 Autumn,No End Quarter,260202,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
