,Major1,Veteran,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
34,All Majors,CHILD,206,5438,3.65,206,5438,3.65,1.0,0.827517206568566,1.2084340870042594,0.17248279343143402,0.20843408700425936,1.0
35,Mechanical Engineering,CHILD,4,91,4.211,206,5438,3.65,1.153602452733776,0.5176850889657321,3.2058509143171325,0.635917363768044,2.0522484615833565,0.5860694014550214
36,Nursing,CHILD/SPOUSE,0,175,0.0,8,5636,0.142,0.0,0.11013534418944287,32.62125189719648,0.11013534418944287,32.62125189719648,0.6596074539532939
37,Business (MBA),CHILD/SPOUSE,0,81,0.0,8,5636,0.142,0.0,0.23821626368547558,69.93414093552477,0.23821626368547558,69.93414093552477,0.3319001546382031
38,Biology,CHILD/SPOUSE,1,181,0.549,8,5636,0.142,3.8763736263736264,0.9691220173602647,30.772551234760375,2.9072516090133615,26.896177608386747,0.05430329637562225
39,Psychology,CHILD/SPOUSE,0,174,0.0,8,5636,0.142,0.0,0.11076893010655714,32.80746898052473,0.11076893010655714,32.80746898052473,0.6567573245404124
40,Chemistry,CHILD/SPOUSE,0,40,0.0,8,5636,0.142,0.0,0.48341587756107707,139.55137652909298,0.48341587756107707,139.55137652909298,0.1451096553762063
41,Master of Policy Studies,CHILD/SPOUSE,0,11,0.0,8,5636,0.142,0.0,1.7763297188040588,470.96836804737853,1.7763297188040588,470.96836804737853,0.01810004599796026
42,Mathematics,CHILD/SPOUSE,0,76,0.0,8,5636,0.142,0.0,0.25392339272515924,74.46455380273326,0.25392339272515924,74.46455380273326,0.3105045862576864
43,Mathematical Thinking and Visualization,CHILD/SPOUSE,0,72,0.0,8,5636,0.142,0.0,0.2680634690570587,78.53457554323572,0.2680634690570587,78.53457554323572,0.29307501166992256
44,Computing and Software Systems,CHILD/SPOUSE,0,718,0.0,8,5636,0.142,0.0,0.026823609225379033,7.99124711495413,0.026823609225379033,7.99124711495413,0.5961999174589074
45,Environmental Studies,CHILD/SPOUSE,0,22,0.0,8,5636,0.142,0.0,0.8818914914323208,247.83790893144098,0.8818914914323208,247.83790893144098,0.061125666642496856
46,Accounting,CHILD/SPOUSE,0,22,0.0,8,5636,0.142,0.0,0.8818914914323208,247.83790893144098,0.8818914914323208,247.83790893144098,0.061125666642496856
47,Master of Fine Arts in Creative Writing and Poetics,CHILD/SPOUSE,0,23,0.0,8,5636,0.142,0.0,0.843278866771973,237.59791558572675,0.843278866771973,237.59791558572675,0.06554628688058022
48,Physics,CHILD/SPOUSE,0,25,0.0,8,5636,0.142,0.0,0.7753785207010223,219.4614980380836,0.7753785207010223,219.4614980380836,0.07453386150173184
49,Electrical Engineering,CHILD/SPOUSE,0,180,0.0,8,5636,0.142,0.0,0.107073112437499,31.721000467810438,0.107073112437499,31.721000467810438,0.673689255819071
50,Business,CHILD/SPOUSE,0,742,0.0,8,5636,0.142,0.0,0.02595579725164659,7.733179110496912,0.02595579725164659,7.733179110496912,0.5806223471562467
51,Education,CHILD/SPOUSE,0,168,0.0,8,5636,0.142,0.0,0.11472900304984057,33.97100091529332,0.11472900304984057,33.97100091529332,0.6394145650205634
52,All Majors,CHILD/SPOUSE,8,5636,0.142,8,5636,0.142,1.0,0.38676031975562686,2.5855806527201306,0.6132396802443731,1.5855806527201306,1.0
53,Mechanical Engineering,CHILD/SPOUSE,0,95,0.0,8,5636,0.142,0.0,0.2030478650267129,59.75472641233329,0.2030478650267129,59.75472641233329,0.38947696501249995
54,Nursing,DISCHRGD VET,7,168,4.0,90,5554,1.595,2.5084444444444447,1.2854153923416598,5.528152265772732,1.223029052102785,3.0197078213282875,0.008422234438116271
55,Business (MBA),DISCHRGD VET,7,74,8.642,90,5554,1.595,5.419478737997257,2.8168735652112225,11.697403050138403,2.6026051727860344,6.277924312141146,1.4993771347472813e-06
56,Biology,DISCHRGD VET,2,180,1.099,90,5554,1.595,0.6891330891330892,0.24545021717118726,2.9763076348554733,0.443682871961902,2.287174545722384,0.8052075987432493
57,Psychology,DISCHRGD VET,4,170,2.299,90,5554,1.595,1.4416347381864625,0.6319044586928598,4.095577218466535,0.8097302794936027,2.6539424802800724,0.31866235795216136
58,Chemistry,DISCHRGD VET,3,37,7.5,90,5554,1.595,4.703333333333334,1.9405178485702401,14.978883384631635,2.762815484763094,10.2755500512983,0.0012311823508388419
59,Master of Policy Studies,DISCHRGD VET,1,10,9.091,90,5554,1.595,5.701010101010102,1.8059930088491916,36.68752929749231,3.89501709216091,30.98651919648221,0.006344406690084062
60,Mathematics,DISCHRGD VET,3,73,3.947,90,5554,1.595,2.475438596491228,1.005380736558263,8.10333493680865,1.470057859932965,5.627896340317422,0.048833356705480155
61,Mathematical Thinking and Visualization,DISCHRGD VET,1,71,1.389,90,5554,1.595,0.8709876543209877,0.2616747141457522,6.371709762989976,0.6093129401752355,5.500722108668988,0.7536373949168595
62,Computing and Software Systems,DISCHRGD VET,14,704,1.95,90,5554,1.595,1.2227793252862893,0.7270150150226085,2.17942597906432,0.49576431026368084,0.9566466537780307,0.4112681221701514
63,Environmental Studies,DISCHRGD VET,0,22,0.0,90,5554,1.595,0.0,0.08916306998462561,21.62873659935646,0.08916306998462561,21.62873659935646,0.8146726760818412
64,Accounting,DISCHRGD VET,1,21,4.545,90,5554,1.595,2.850505050505051,0.8752053868542111,19.77844371351117,1.9752996636508398,16.927938663006117,0.07307237885085607
65,Master of Fine Arts in Creative Writing and Poetics,DISCHRGD VET,0,23,0.0,90,5554,1.595,0.0,0.08525622405473507,20.735810975636593,0.08525622405473507,20.735810975636593,0.8389285058105644
66,Physics,DISCHRGD VET,1,24,4.0,90,5554,1.595,2.5084444444444447,0.7672957095255568,17.56420692092688,1.7411487349188879,15.055762476482434,0.10345902742659228
67,Electrical Engineering,DISCHRGD VET,5,175,2.778,90,5554,1.595,1.7419753086419754,0.8141967038489557,4.43750727476855,0.9277786047930197,2.695531966126575,0.1376037106206401
68,Business,DISCHRGD VET,10,732,1.348,90,5554,1.595,0.8451632225217132,0.4677430981831715,1.663428721052419,0.37742012433854166,0.8182654985307058,0.6982489250846708
69,Education,DISCHRGD VET,1,167,0.595,90,5554,1.595,0.37328042328042327,0.11153440808239955,2.7675272454216784,0.2617460151980237,2.394246822141255,0.4731209110223983
70,All Majors,DISCHRGD VET,90,5554,1.595,90,5554,1.595,1.0,0.7489978913915096,1.3351172433104872,0.25100210860849037,0.3351172433104872,1.0
